word,audio_word,match_type,source,speaker,license,filename,url,size_bytes
февруари,февруари,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-февруари.wav,https://upload.wikimedia.org/wikipedia/commons/0/05/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%84%D0%B5%D0%B2%D1%80%D1%83%D0%B0%D1%80%D0%B8.wav,101164
август,август,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-август.wav,https://upload.wikimedia.org/wikipedia/commons/9/93/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82.wav,92972
јули,јули,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-јули.wav,https://upload.wikimedia.org/wikipedia/commons/c/c2/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%98%D1%83%D0%BB%D0%B8.wav,84780
боб,боб,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-боб.wav,https://upload.wikimedia.org/wikipedia/commons/c/cc/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D0%BE%D0%B1.wav,60204
автор,автор,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-автор.wav,https://upload.wikimedia.org/wikipedia/commons/1/16/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D1%82%D0%BE%D1%80.wav,68396
судбина,судбина,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-судбина.wav,https://upload.wikimedia.org/wikipedia/commons/f/f7/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D1%83%D0%B4%D0%B1%D0%B8%D0%BD%D0%B0.wav,109356
крај,крај,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-крај.wav,https://upload.wikimedia.org/wikipedia/commons/9/9d/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D1%80%D0%B0%D1%98.wav,84780
дава,дава,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-дава.wav,https://upload.wikimedia.org/wikipedia/commons/2/21/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B0%D0%B2%D0%B0.wav,92972
тие,тие,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-тие.wav,https://upload.wikimedia.org/wikipedia/commons/d/df/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D0%B8%D0%B5.wav,76588
музика,музика,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-музика.wav,https://upload.wikimedia.org/wikipedia/commons/1/1a/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D1%83%D0%B7%D0%B8%D0%BA%D0%B0.wav,92972
интересен,интересен,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-интересен.wav,https://upload.wikimedia.org/wikipedia/commons/f/f6/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%B5%D0%BD.wav,101164
разлика,разлика,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-разлика.wav,https://upload.wikimedia.org/wikipedia/commons/e/e3/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%80%D0%B0%D0%B7%D0%BB%D0%B8%D0%BA%D0%B0.wav,101164
без,без,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-без.wav,https://upload.wikimedia.org/wikipedia/commons/9/92/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B1%D0%B5%D0%B7.wav,92972
ден,ден,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ден.wav,https://upload.wikimedia.org/wikipedia/commons/f/fa/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B4%D0%B5%D0%BD.wav,68396
секој,секој,exact,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-секој.wav,https://upload.wikimedia.org/wikipedia/commons/2/26/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D0%B5%D0%BA%D0%BE%D1%98.wav,84780
