word,source,speaker,license,original_filename,url
крв,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-крв.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D1%80%D0%B2.wav
казна,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-казна.wav,https://upload.wikimedia.org/wikipedia/commons/e/ed/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BA%D0%B0%D0%B7%D0%BD%D0%B0.wav
волја,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-волја.wav,https://upload.wikimedia.org/wikipedia/commons/6/62/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B2%D0%BE%D0%BB%D1%98%D0%B0.wav
прашање,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-прашање.wav,https://upload.wikimedia.org/wikipedia/commons/7/7b/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%80%D0%B0%D1%88%D0%B0%D1%9A%D0%B5.wav
пишува,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пишува.wav,https://upload.wikimedia.org/wikipedia/commons/6/6f/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%B8%D1%88%D1%83%D0%B2%D0%B0.wav
ние,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-ние.wav,https://upload.wikimedia.org/wikipedia/commons/4/49/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BD%D0%B8%D0%B5.wav
пример,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пример.wav,https://upload.wikimedia.org/wikipedia/commons/d/d4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%80%D0%B8%D0%BC%D0%B5%D1%80.wav
минута,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-минута.wav,https://upload.wikimedia.org/wikipedia/commons/8/86/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BC%D0%B8%D0%BD%D1%83%D1%82%D0%B0.wav
зборува,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-зборува.wav,https://upload.wikimedia.org/wikipedia/commons/c/c3/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B7%D0%B1%D0%BE%D1%80%D1%83%D0%B2%D0%B0.wav
текст,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-текст.wav,https://upload.wikimedia.org/wikipedia/commons/e/e1/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%82%D0%B5%D0%BA%D1%81%D1%82.wav
страв,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-страв.wav,https://upload.wikimedia.org/wikipedia/commons/0/0d/LL-Q9296_%28mkd%29-Bjankuloski06-%D1%81%D1%82%D1%80%D0%B0%D0%B2.wav
живот,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-живот.wav,https://upload.wikimedia.org/wikipedia/commons/3/34/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B6%D0%B8%D0%B2%D0%BE%D1%82.wav
авторски,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-авторски.wav,https://upload.wikimedia.org/wikipedia/commons/b/b4/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D1%81%D0%BA%D0%B8.wav
пумпа,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пумпа.wav,https://upload.wikimedia.org/wikipedia/commons/4/4f/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D1%83%D0%BC%D0%BF%D0%B0.wav
пее,Lingua Libre / Wikimedia Commons,Bjankuloski06,CC-BY-SA 4.0,LL-Q9296 (mkd)-Bjankuloski06-пее.wav,https://upload.wikimedia.org/wikipedia/commons/4/40/LL-Q9296_%28mkd%29-Bjankuloski06-%D0%BF%D0%B5%D0%B5.wav
